state_abbr,state_id,PRO-GUN,ANTI-GUN,federal_PRO-GUN,state_PRO-GUN,federal_ANTI-GUN,state_ANTI-GUN,federal_PRO-GUN,state_PRO-GUN,federal_ANTI-GUN,state_ANTI-GUN,,,,,,,,,,,,,
AL,1,478626.74,8000,429398,49228.74,8000,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1BTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
AK,2,213972,N/A,188252,25720,N/A,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BSyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BSyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,N/A,N/A,,,,,,,,,,,,,
AZ,4,705530.53,14510,488406,217124.53,14510,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BWiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BWiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1BWiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
AR,5,245196,2000,224496,20700,2000,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BUiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1BUiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1BUiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
CA,6,2566496.05,201794,1282499,1283997.05,191944,9850,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1DQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1DQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1DQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1DQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
CO,8,613183.17,114627,427970,185213.17,61327,53300,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1DTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1DTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1DTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1DTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
CT,9,177796,47161.63,121596,56200,43666,3495.63,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1DVCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1DVCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1DVCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1DVCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
DE,10,131407,18450,25070,106337,18450,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ERSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ERSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1ERSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
DC,11,N/A,3500,N/A,N/A,3500,N/A,N/A,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1EQyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
FL,12,1252872,58871,874872,378000,58071,800,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1GTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1GTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1GTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1GTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
GA,13,1109597,13555,752647,356950,12855,700,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1HQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
HI,15,86267,3000,40000,46267,3000,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ISSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ISSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1ISSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
ID,16,365257,N/A,301557,63700,N/A,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,N/A,N/A,,,,,,,,,,,,,
IL,17,764813.23,136149.85,446706,318107.23,95576,40573.85,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JTCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
IN,18,585242.03,9782,500438,84804.03,9782,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
IA,19,440794.93,19897,299336,141458.93,19897,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1JQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1JQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
KS,20,546843,39961,364493,182350,39961,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1LUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
