state_abbr,state_id,PRO-GUN,ANTI-GUN,federal_PRO-GUN,state_PRO-GUN,federal_ANTI-GUN,state_ANTI-GUN,federal_PRO-GUN,state_PRO-GUN,federal_ANTI-GUN,state_ANTI-GUN,,,,,,,,,,,,,
KY,21,438014,24777,395676,42338,24777,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1LWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1LWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
LA,22,444177.64,1000,395677,48500.64,1000,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1MQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1MQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1MQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
ME,23,186012,35643,137162,48850,27318,8325,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NRSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
MD,24,454307.92,34950,184700,269607.92,18650,16300,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NRCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
MA,25,107612.24,54158,87104,20508.24,51308,2850,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NQSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
MI,26,849960,58585,470185,379775,57760,825,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NSSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NSSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NSSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NSSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
MN,27,501080,48950,486560,14520,48950,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NTiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
MS,28,354490.62,2700,299313,55177.62,2700,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NUyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
MO,29,683902,73638,563746,120156,66838,6800,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1NTyZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
MT,30,291759,N/A,257555,34204,N/A,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NVCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1NVCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,N/A,N/A,,,,,,,,,,,,,
NE,31,289549,11400,254429,35120,11400,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ORSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1ORSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1ORSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
NV,32,459003.24,15000,356796,102207.24,15000,N/A,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OViZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OViZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OViZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,N/A,,,,,,,,,,,,,
NH,33,296610,35837,274135,22475,34337,1500,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OSCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OSCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OSCZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lw625.0,,,,,,,,,,,,,
NJ,34,259702,112164,104302,155400,90164,22000,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OSiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OSiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OSiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OSiZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
NM,35,339823,17675,228873,110950,17500,175,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OTSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OTSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OTSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OTSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
NY,36,897014,181441,410928,486086,164466,16975,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEzJnJlY2lwaWVudF9zdGF0ZT1OWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQWZlYyUzQXRyYW5zYWN0aW9u,http://data.influenceexplorer.com/contributions/#Y29udHJpYnV0b3JfaW5kdXN0cnk9UTEyJnJlY2lwaWVudF9zdGF0ZT1OWSZnZW5lcmFsX3RyYW5zYWN0aW9uX3R5cGU9c3RhbmRhcmQmdHJhbnNhY3Rpb25fbmFtZXNwYWNlPXVybiUzQW5pbXNwJTNBdHJhbnNhY3Rpb24=,,,,,,,,,,,,,
